目線,sudut pandang,gaze
後悔,menyesal,regret
無視,mengabaikan,ignore
冒険,petualangan,adventure
バレた,ketahuan,found out
勝手,egoisme,selfishness
海鮮,makanan laut,seafood
島国,negara kepulauan,island nation
建築,arsitektur,architecture
診察,konsultasi kesehatan,medical examination
相変わらず,seperti biasanya,as usual
参考,referensi,reference
前回,terakhir kali,last time
超える,melampaui,exceed
話題,topik,topic
長袖,lengan panjang,long sleeves
含めて,termasuk,including
不動産,real estat,real estate
可能,mungkin,possible
争い,konflik,conflict
はまっている,kecanduan,hooked
脳,otak,brain
叶える,terwujud,grant
証拠,bukti,evidence
裁判,pengadilan,court
初恋,cinta pertama,first love
内緒,rahasia,secret
呪い,kutukan,curse
おまけ,tambahan,extra
防犯カメラ,cctv,cctv
登録,mendaftar,registration
収入,penghasilan,income
癖,kebiasaan,habit
迷惑,menyusahkan,bothersome
親孝行,berbakti pada orang tua,filial piety
部活,aktivitas klub,club activities
筋肉,otot,muscle
バラバラ ,tersebar,scattered
学科,jurusan kuliah,course of study
許可,izin,approval
状態,kondisi,condition
状況,situasi,situation
左右,kiri dan kanan,left and right
旦那なさん,suami,husband
条件,syarat,requirement
民族,suku,ethnicity
詐欺師,penipu,con man
山賊,bandit,bandits
向いていない,tidak berbakat,not suitable
本気,serius,seriously
勘違い,salah paham,misunderstanding
しらばっくれる,berlagak pilon,pretend not to know
事実,fakta,fact
才能,bakat,talent
敵,musuh,enemy
全国,seluruh negeri,nationwide
魅力,daya tarik,charm
ジャンル,genre,genre
面接官,pewancara,interviewer
面接者,orang yang diwawancara,interviewee
評判,reputasi,reputation
役者,aktor aktris,actor actress
役,peran,role
評価する,mengevaluasi,evaluate
ずるい,licik,cunning
刑事,detektif,detective
１対１,satu lawan satu,one on one
月額,bulanan,monthly
狙い,target,aim
サボる,membolos,skip
嫌がる,diganggu,bully
振られる,ditolak,being rejected
現れる,muncul,appear
格差,kesenjangan,inequality
幼馴染,teman masa kecil,childhood friend
契約,kontrak,contract
芸人,pelawak,comedian
孤独,kesendirian,loneliness
偽物,palsu,fake
追加,tambahan,addition
企業,perusahaan,company
ブース,stan,booth
